sentence_id	sentence	locale	reason
1bdd4311452a2877c0debda1718696a680f73d6feeffa4d628e2b35a538e6407	Minu lemmiktegelane läbi aegade on Katniss Everdeen triloogiast "Näljamängud".	en	sc-different-language
50cec6912be94ade8bf9a74f8f6c3dccccb6ab41dc4d1525cb50c314dd748e25	Jews pronounce it Adunai. Which means "My Lord"	en	2 sentences
51acbce5ab75a27f21d149d81a5cadd1cf8ca2e222632385bf23c321bc221be9	Väiksena tahtsin väga Ameerikasse reisida, aga viimasel ajal tundub seal päris hirmus olevat.	en	sc-different-language
9989bd34fa1442146bb45637c65d391b6bedaa2edbfbf7d9c9833435a3d141c0	Oh, vaata kui äge selle maja arhitektuur on!	en	sc-different-language
a4f5f28e480cf6148418eda4f2648ee6d7ec28741aa2adad56079255d1bb7bf4	Hey, watch yourself. If you blame someone, do not hate.	en	2 sentences
a8be6022b5787e07d49a8fe9e6f2d63d85520793958d87cdb295723fd4abbca1	Mu telefoniaku saab viimasel ajal päris ruttu tühjaks.	en	sc-different-language
b684cbbecaea1994d2ef33b59e8b3bbffa44f79ef6bb540d6640294cf6f2b62c	Meeting peace With fire hoses.
	en	grammar-or-spelling
b684cbbecaea1994d2ef33b59e8b3bbffa44f79ef6bb540d6640294cf6f2b62c	Meeting peace With fire hoses.
	en	with
c2cf904451ba1b794a51b08dbf8d9a5052332a320388466af9a7218e689d09a4	Neljanda lause juures jäin ma veidi hätta.	en	sc-different-language
cac51473c369dd0300967449ca44240de9209bb3572930395ecbaf4ad1480036	Write TypeScript function to produce full name from first name and last name	en	.
cd20a95e133f46af7564d0a10a807616867976aaae3344049c1739540b58d520	Hetkel õpin kolmandal kursusel, ootan ülikooli lõppu juba väga.	en	sc-different-language
e9daeee7ec4621400addb122026dd467beccd8b5bd23926f9cd446099c9881ed	Millal sa eile koju jõudsid, ma isegi ei kuulnud?	en	sc-different-language
eaaa2b10875afb1792a4e65efd4750c4a6620161b2e211a307a95291e154cfad	Tahaksin täna sõpradega välja minna, aga ma lihtsalt ei leia selleks energiat.	en	sc-different-language
6f8f8202de1d4911d26edf31185c56b637d92524b24fcf9b1536b51fed60abda	فیمینزم اور پیٹریارکی کے درمیان ٹکراؤ بنیادی طور پر صنفی برابری اور طاقت	en	different-language
25d0a36545fbb1dc93ee06151c3b7f24ea78009c8846894dc31240b0c28da553	فیمینزم اور پیٹریارکی دو ایسی اصطلاحات ہیں جو معاشرتی ڈھانچے	en	different-language
0510afce37e1f956c8ae80af7bb913280841f9eeda26d081bc1c05592040e227	الأَرْض	en	different-language
14f8a4ac5231f392516be0331857c6145b72561ea5c3ede4d8b687af1f98d708	آپ کو کون سی زبان آتی ہے؟	en	different-language
f16f9061a5a5962b2750e9dd87b7361e682bf42ffc2c098b01b0568b713d7056	The academic study of Horticulture had to take account the changed requirements that resulted.	en	grammar-or-spelling
f176746d33d333a394cbb444bed396d8de5774f7c7aa9f2bfa3cec2daba3a0cd	Ramakrishna tried to uncover the scam with his help and the another girl.	en	grammar-or-spelling
f14dab817981d4561e69362b1c9e4bdc7e245efc877ba0308f88eb57f455dcb0	These are residential colonies with mix of Commercial activities.	en	grammar-or-spelling
17b982095042d7aad8db4312ea04eaaf92bb945a31a68104a5ede89a848baafe	مردوں کو اکثر اس طرح کی مراعات ملتی ہیں جو خواتین کو نہیں ملتیں	en	different-language
f15a28bcdc1810441bb4eec39bf789f9da938a08da6e9b4d2d9ecc0ab64cb5c6	He added that the cameras have been operational since a week.	en	grammar-or-spelling
f17c247402191d326c01e6d1a1710dddcbb2ea788f32a2a7f47e1ef6b3a8e5ac	This total obviously does not include assets, deposits and reserves that are not traded.	en	grammar-or-spelling
149beb214cf4544177e4dad3be5554ff95daef3e1e927584a26ef77bb86af9a6	آپ کس کھیل میں دلچسپی رکھتے ہیں؟	en	different-language
f176ea5a7dc615f78d5dcf9dab2176268d286d9a4b983d73d32f8c9cb6eb39ce	Water District are part of the Black Sea.	en	grammar-or-spelling
1a77aa5009a623dcccf37126be65f4e5c8e4323d0c92d6568dd4b8bc667ad554	متوازی دارالمبادلہ میں بروکروں کے لیے قرضوں پر محصول	en	different-language
72cfd8c4ea911a135b4bd26037daa9ee0182874d42e885a9730af5ba937e3f19	You've helped Common Voice reach of our daily validation goal!
	en	grammar-or-spelling
f185d94a3bf8c71f19fce5b3caa8796d922142eee239132cf53e9b63a29b3429	The following year, Thomas Paine published an in the "Pennsylvania Gazette".	en	grammar-or-spelling
f187948c60618083bbd4ac1df143ab1c93bb57f6e45666ec4437a117f185f3bc	Two of the well-known phishing methods are Covert Redirect and Open Redirect.	en	offensive-language
f187948c60618083bbd4ac1df143ab1c93bb57f6e45666ec4437a117f185f3bc	Two of the well-known phishing methods are Covert Redirect and Open Redirect.	en	grammar-or-spelling
f187948c60618083bbd4ac1df143ab1c93bb57f6e45666ec4437a117f185f3bc	Two of the well-known phishing methods are Covert Redirect and Open Redirect.	en	different-language
f187948c60618083bbd4ac1df143ab1c93bb57f6e45666ec4437a117f185f3bc	Two of the well-known phishing methods are Covert Redirect and Open Redirect.	en	difficult-pronunciation
69bd1fc73564b1cffdaf11c7930bd7979c9e1ceb45346756ad82f3b2c90cd76b	Où, Infos, Aide.	en	sc-different-language
f17a2821b9d5dc1f4790459d23c2a2e65e8db97d2023fe500253da564ee5d061	Alsip Guitars and became the guitar manufacturer's first endorsee.	en	grammar-or-spelling
10bf00cfab05727f525f030dd86a5d5d7ff66b0d19cd3c1889791dc3581dfc6e	I'm grilling a sandwich	en	.
70d162fca4f457c44c253e6b46bfeec848692520d75e3524ac74733b0d42e24b	This is the most different from the first	en	.
79032f174039885fad9f7cf20f54423fbb160bf416973db4b92f1199b5b86a2f	زه د سهار لمونځ کوم.	en	sc-different-language
e8abc7d4488c6c6d6224a7d1b1a5c4028365f60847e836a0d0d41343da959d3f	They're not wrong, you're hiding that you would otherwise sound rude	en	.
fa1fe55be74c6f5fa0b10b0654cc81557debcb3bd4973d4b5fa6b1bdc1d43787	The museum heist probably wouldn't work	en	.
79032f174039885fad9f7cf20f54423fbb160bf416973db4b92f1199b5b86a2f	زه د سهار لمونځ کوم.	en	sc-different-language
0b6969204625fdd2c41639b62f14d920237c937fff587f02bb1317093bf007b7	One curved surface isn't typically a side mathematically	en	.
0dfc7e8a48cf65e6c80ab747bd180d2dce89b71897c86fd66d59dca4b2ed5c00	Apparently I think too strongly about this	en	.
21b49815fa7e612dfd6e54f0a9d36753ce842703042774fa7a4ec15633123d9f	To me that just makes it more interesting	en	.
274ef8f8b8e1a9001b7ae9e05100049b2b7c599a79ace4d218ae36fe699af9a5	I'm just looking at the language from an idealist perspective	en	.
29b604029b558a2b0bf1ebed089d01c48d5c1b6031ffc80624d74d24e83004f3	I've only translated memes I found online so far	en	.
33afc43182d62a42566e986df98598cc027e91cca1a95659ba4ea50712129fa6	I like vowel length for only non-diphthongs	en	.
3e13b5c94eab32e0f0cba1a163127ac9ef7c49fbbfa02c5100afed3caefed9b8	It's a verb technically	en	.
56e94b28287cb043ef3ab17b12a1869e7076cfbf90b5f4e130a558ff8124df15	I made a script	en	.
68d94b7a1d171f404d86250475a456a04ba4cc38ce2911937002fb1bdb4183f9	Those are very reasonable words, just very specific for this stage	en	.
6c5d0414633b330687c9efe1ba77a316798bc313c5ff328ea77b73594d40ac3e	You seemed so proud of making it too	en	.
6d7844db172af3f9cc2ca609ad00fc1d380571cab0e0259476edd7eb1f4a796e	It's hilariously impractical even besides it being extremely incomplete	en	.
754d807bb1dfd653e732c592d4a3a8f3b8228390ab1b3965efb5b42491792d91	Anyway, front vowels still aren’t distinguished from each other in writing	en	.
75af529690e266f44b782eae4199276442548255f84da258aca07ef6fea6d7b6	Plus a few additional colors for more realism	en	.
76b9b7b888f6cbe1257026d481750d3b4f721a387c38b3c204260105f3ddd183	Your hypothetical desire doesn't upset me	en	.
7951a7f7458554cd992edbf16c89ee947aa8f83741f6f1e3372b043553c7990c	It comes after its subject so the distinction is clear	en	.
88796af03b9960e0715e704ce4e493275b9a6a7ee520a806662dcfa8c9e245ac	All music is somewhat predictable in a way	en	.
89d0046a0450ec7ccf3d22f1e1d8d6e4dfeebb07aa8b9a936c4ae283eb753822	It's an orangish shade of red to me	en	.
8baca86ae723de7947ed96a9660cff098fbe4fc1a696804a923c56779752e397	There's something I should be doing	en	.
9418e208c749931465535ac78cef4fc30d96f11f139e9fabaebcc5a268bf9ba1	It just filters out the words that have a colon after them	en	.
c9a4c1c5d589d26623c6174c08436ee37628f177c7b99b5831ff343babdbd2c9	They have slightly different names in different languages	en	.
cefe8570f12e9631d114ae25d7e4e3bfb35808fa2cd3440427776a7765fd13ad	I thought habitual was done by just using the infinitive	en	.
de13e7f28dc51367c85e47eb8294cd058ab7207f72b0eb7b16e498751a64dd5c	I was using the wrong vocab list	en	.
ee8b673c46c8c9c8ecc5f824850393dc9262bc24c759dd308d89485548b64f21	I think it looks funnier to copy the writing instead of the pronunciation
	en	.
f25b4d867503684570388ae79ad2674f75b00cf77c60fc2345f6e0499f7d3a4d	I can't understand most music	en	.
f6e71b7924464ce2de5c35fa2694c3fccf3fc915fa64fcfacf7cea025e0d09ae	I was literally just explaining why your word is so cool
	en	.
bdbfc271d117977ef40575198ea3e3ad2d1989f40ef5347b198e2cb4a6f41a3c	اور جنس کی بنیاد پر امتیاز کے خلاف جدوجہد کرتی ہے	en	different-language
cbcb052fe6a1e137fdc8a6ee434ab5d7df40a0a7b6448a7a7de27b756a0f06d7	questa è una prova e voglio sentire come funziona questo coso	en	sc-different-language
25d0a36545fbb1dc93ee06151c3b7f24ea78009c8846894dc31240b0c28da553	فیمینزم اور پیٹریارکی دو ایسی اصطلاحات ہیں جو معاشرتی ڈھانچے	en	different-language
149beb214cf4544177e4dad3be5554ff95daef3e1e927584a26ef77bb86af9a6	آپ کس کھیل میں دلچسپی رکھتے ہیں؟	en	different-language
149beb214cf4544177e4dad3be5554ff95daef3e1e927584a26ef77bb86af9a6	آپ کس کھیل میں دلچسپی رکھتے ہیں؟	en	different-language
1a77aa5009a623dcccf37126be65f4e5c8e4323d0c92d6568dd4b8bc667ad554	متوازی دارالمبادلہ میں بروکروں کے لیے قرضوں پر محصول	en	different-language
bdbfc271d117977ef40575198ea3e3ad2d1989f40ef5347b198e2cb4a6f41a3c	اور جنس کی بنیاد پر امتیاز کے خلاف جدوجہد کرتی ہے	en	different-language
f1e9258c219585ef067aa32600265953b36ecaf6050e58fe36ca88702ebb6edd	He was ruled out for the remainder of the season with post-concussion syndrome.	en	difficult-pronunciation
f1bdda71c631f2c700a583c5c16d2d057ed120001bfc3f0d9a0b7176ffc7c4fe	He was a longtime resident of Englewood, New Jersey.	en	offensive-language
f1f37abb9c10a063893127b9a1aee41f9fdb576641f55681afc4af43586a8501	The is a discrete space, and the a topological graph.	en	grammar-or-spelling
f1ed227781bdd771568d817052333d7dfc10b1926993cb10efff9d5bc9a5f01c	He is also does entertainment consultancy.	en	grammar-or-spelling
25d0a36545fbb1dc93ee06151c3b7f24ea78009c8846894dc31240b0c28da553	فیمینزم اور پیٹریارکی دو ایسی اصطلاحات ہیں جو معاشرتی ڈھانچے	en	different-language
f1e79c91e843ee15f60212b8dd6edc2cce72df06aff283cec4f6ec23d76e7955	Birbal Sahni and his fellow researchers reported angiosperms and insect fossils.	en	grammar-or-spelling
f1e79c91e843ee15f60212b8dd6edc2cce72df06aff283cec4f6ec23d76e7955	Birbal Sahni and his fellow researchers reported angiosperms and insect fossils.	en	offensive-language
f1e79c91e843ee15f60212b8dd6edc2cce72df06aff283cec4f6ec23d76e7955	Birbal Sahni and his fellow researchers reported angiosperms and insect fossils.	en	difficult-pronounce
f1e79c91e843ee15f60212b8dd6edc2cce72df06aff283cec4f6ec23d76e7955	Birbal Sahni and his fellow researchers reported angiosperms and insect fossils.	en	different-language
02eda3bb55f139d32aa83aa6cb38fe6ef849df3e49bb0beb181a6f7b09583ea1	The nickname "Northern Venice" highlights the unique and picturesque nature of St.	en	grammar-or-spelling
02f552feaca7cafd3f6192760f33e1c96bb62cd8ad30ada091473801daf86f38	Fill in the gaps in parts i-ii using the words from the boxes.	en	grammar-or-spelling
0307e9948756e84b6c22767ac59625b5cdd65b0358372f6584dbbd5bb4977676	Clinical Gastroenterology and Hepatology - Journal	en	grammar-or-spelling
0322ce5e552e9577b3c5e5f84bf3345093e78acb3e729e790d8844b64b5ccb90	Key indicators for evaluating the effectiveness of warehouse logistics processes management at the enterprise	en	.
0357d0ead6f17a33daa97eb6506f60cec64b346e216f85a90c09bc201436e98c	The correct form of the verb to complete this sentence is "is waiting".	en	grammar-or-spelling
045eb6153998cc15547a6c8383e30d4159de5ef909b52d6e8b037b78795eb8f5	Bonilla, "Multiphase modelling of a smoking oven," Appl.	en	grammar-or-spelling
f27186e2f8fb24c525458f188ceff9da856d5ccbaa6a47ae53b4818719858e82	An octagonal turret with stone spire adjoins the north transept.	en	grammar-or-spelling
f26d616291cd751669499a0220a1d076b2fa0b7642aa9e9891451726df5d395c	It's row versus wade... and it's my right to choose.	en	grammar-or-spelling
f2b5554e2ef1fe76ac22ebf21cb266d4d919e6c8dbd2cc88bf5ea6ce28ea1792	All prisoners are removed from the precincts of the city.	en	Gyh
f2c42e9af2e4408c3d07525045cc44d77372b38f73aeac74172e99fc2af04ece	On the mid-pilaster of the hall Perugino placed his own portrait in bust-form.	en	different-language
f2c42e9af2e4408c3d07525045cc44d77372b38f73aeac74172e99fc2af04ece	On the mid-pilaster of the hall Perugino placed his own portrait in bust-form.	en	 AA Zc4n        ,,'    
f3c4fb649a1675eb4d886902c7d671cf8ca78a679ae54ec8a41de027086aca3c	Coach Larry Fedora was fired after the season.	en	offensive-language
f3c4fb649a1675eb4d886902c7d671cf8ca78a679ae54ec8a41de027086aca3c	Coach Larry Fedora was fired after the season.	en	grammar-or-spelling
f3c4fb649a1675eb4d886902c7d671cf8ca78a679ae54ec8a41de027086aca3c	Coach Larry Fedora was fired after the season.	en	different-language
f3c4fb649a1675eb4d886902c7d671cf8ca78a679ae54ec8a41de027086aca3c	Coach Larry Fedora was fired after the season.	en	difficult-pronounce
f3c4fb649a1675eb4d886902c7d671cf8ca78a679ae54ec8a41de027086aca3c	Coach Larry Fedora was fired after the season.	en	Haker
01cef763f919fefe206ec5eb638ad471463a16e09f26986ad062a7babc1d5d37	As an intercultural communication consultant, you have been	en	grammar-or-spelling
f4332acadfc0b69c236e773db0ada7dbf23374f646b1359b2d538406744cae6e	There are a number or routes from both sides, and circular walks are possible.	en	grammar-or-spelling
f4e592395899c8cd5a4afe6190ec39abf81906f94b1d10877584fc8d4aaaab55	Blind anger has more to do with it than either of these causes.	en	grammar-or-spelling
f4e592395899c8cd5a4afe6190ec39abf81906f94b1d10877584fc8d4aaaab55	Blind anger has more to do with it than either of these causes.	en	difficult-pronunciation
f4fffddbec53dfea47cf9eccdd826d69ecf0da3874869450ffaf22f7abcd8808	These uniform symmetries can be represented by coloring differently the cells in each construction.	en	offensive-language
f4fffddbec53dfea47cf9eccdd826d69ecf0da3874869450ffaf22f7abcd8808	These uniform symmetries can be represented by coloring differently the cells in each construction.	en	grammar-or-spelling
f4fffddbec53dfea47cf9eccdd826d69ecf0da3874869450ffaf22f7abcd8808	These uniform symmetries can be represented by coloring differently the cells in each construction.	en	different-language
f4fffddbec53dfea47cf9eccdd826d69ecf0da3874869450ffaf22f7abcd8808	These uniform symmetries can be represented by coloring differently the cells in each construction.	en	difficult-pronunciation
f4fffddbec53dfea47cf9eccdd826d69ecf0da3874869450ffaf22f7abcd8808	These uniform symmetries can be represented by coloring differently the cells in each construction.	en	jhhzqy
f4e76c2a9121fd70a3707005f1bb047229401484e5a4dff61af99b8d8e327416	Johny Antony and Sudheer Karamana also play major roles in the film.	en	different-language
f55c8446c2ab854fbad8005a43cdd5d9ef2f754cb6c5e54a21e4cff74f9d5bd2	Parts of the hall were subsequently demolished.	en	offensive-language
f55c8446c2ab854fbad8005a43cdd5d9ef2f754cb6c5e54a21e4cff74f9d5bd2	Parts of the hall were subsequently demolished.	en	grammar-or-spelling
f55c8446c2ab854fbad8005a43cdd5d9ef2f754cb6c5e54a21e4cff74f9d5bd2	Parts of the hall were subsequently demolished.	en	different-language
f55c8446c2ab854fbad8005a43cdd5d9ef2f754cb6c5e54a21e4cff74f9d5bd2	Parts of the hall were subsequently demolished.	en	difficult-pronounce
f55c8446c2ab854fbad8005a43cdd5d9ef2f754cb6c5e54a21e4cff74f9d5bd2	Parts of the hall were subsequently demolished.	en	Hi
f549fa5fa64a98a9a48b1af6bd050787c6cc51feb50ad2a30b4f6ef0327d426e	Even though liver toxicity typically occurs, yellowish skin usually does not.	en	So.eone is using my voice to do harm i believe and to commit crime.
f549e9aaf934521f939ecf410db47862327f3884b80619ec21ceacbf94a1418f	He was mostly employed painting mythological paintings, depictions of courtly life, and decorations paintings.	en	grammar-or-spelling
f569571b0ec9e80f9fb89c9ecb863bb97e69821c41077c96b8980ddffdf62013	Color layer: Green-Center, Magenta-Measure of length and Blue-Hidden.	en	It's not really a sentence, and hard to know what it means.
f54ac47215609e075de70d15188b1da83023a333a175d1a8f6b9a946261d1d17	De Wolf was born in Nivelles, Walloon Brabant.	en	Most of the words are names in other languages (German? Belgian?)
f56e457470d57da92ca9d50f27ec633216321eb725f1a929336a8e7d8e8bf84d	Its Command Chief Master Sergeant is Chief Master Sergeant Shannon Rix.	en	Repetitious ... 
f58c0a70223172c15e886229a4281e633b4d8a3a1306029290736dfb81f1ac75	Stanley Robertson, a storyteller, ballad singer and piper from Aberdeen, was Jeannie's nephew.	en	thank
f58b28d9a59e83c2f5e1dc9fb95e770b7a64b1a0f9052148449ec8f0d26d2406	It is one of the mostly known tourist destination place in the country.	en	grammar-or-spelling
